Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9
0,0.0012840625000000003,7.523985085212247E-5,0.0013562500000000005,0.001196875,0.0013562500000000005,0.0013562500000000005,0.0013562500000000005,0.0013562500000000005,0.001196875,0.0012718750000000002,0.001196875,0.001196875
1,0.0012043750000000002,2.2499999999991728E-5,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.0012718750000000002,0.001196875,0.001196875
2,0.0012043750000000002,2.2499999999991728E-5,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.0012718750000000002,0.001196875,0.001196875
3,0.0012043750000000002,2.2499999999991728E-5,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.0012718750000000002,0.001196875,0.001196875
4,0.0012043750000000002,2.2499999999991728E-5,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.0012718750000000002,0.001196875,0.001196875
5,0.0012043750000000002,2.2499999999991728E-5,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.0012718750000000002,0.001196875,0.001196875
6,0.0012043750000000002,2.2499999999991728E-5,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.0012718750000000002,0.001196875,0.001196875
7,0.0012043750000000002,2.2499999999991728E-5,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.0012718750000000002,0.001196875,0.001196875
8,0.0012043750000000002,2.2499999999991728E-5,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.0012718750000000002,0.001196875,0.001196875
9,0.0012043750000000002,2.2499999999991728E-5,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.001196875,0.0012718750000000002,0.001196875,0.001196875
