Run,Iteration,dim-0,dim-1,dim-2,dim-3
0,0,0.06,0.14,0.045,0.065
0,1,0.125,0.075,0.08249999999999999,0.0275
0,2,0.125,0.075,0.08249999999999999,0.0275
0,3,0.125,0.075,0.08249999999999999,0.0275
0,4,0.125,0.075,0.08249999999999999,0.0275
0,5,0.125,0.075,0.08249999999999999,0.0275
0,6,0.125,0.075,0.08249999999999999,0.0275
0,7,0.125,0.075,0.08249999999999999,0.0275
0,8,0.125,0.075,0.08249999999999999,0.0275
0,9,0.125,0.075,0.08249999999999999,0.0275
1,0,0.125,0.075,0.08249999999999999,0.0275
1,1,0.125,0.075,0.08249999999999999,0.0275
1,2,0.125,0.075,0.08249999999999999,0.0275
1,3,0.125,0.075,0.08249999999999999,0.0275
1,4,0.125,0.075,0.08249999999999999,0.0275
1,5,0.125,0.075,0.08249999999999999,0.0275
1,6,0.125,0.075,0.08249999999999999,0.0275
1,7,0.125,0.075,0.08249999999999999,0.0275
1,8,0.125,0.075,0.08249999999999999,0.0275
1,9,0.125,0.075,0.08249999999999999,0.0275
2,0,0.06,0.14,0.045,0.065
2,1,0.125,0.075,0.08249999999999999,0.0275
2,2,0.125,0.075,0.08249999999999999,0.0275
2,3,0.125,0.075,0.08249999999999999,0.0275
2,4,0.125,0.075,0.08249999999999999,0.0275
2,5,0.125,0.075,0.08249999999999999,0.0275
2,6,0.125,0.075,0.08249999999999999,0.0275
2,7,0.125,0.075,0.08249999999999999,0.0275
2,8,0.125,0.075,0.08249999999999999,0.0275
2,9,0.125,0.075,0.08249999999999999,0.0275
3,0,0.06,0.14,0.045,0.065
3,1,0.125,0.075,0.08249999999999999,0.0275
3,2,0.125,0.075,0.08249999999999999,0.0275
3,3,0.125,0.075,0.08249999999999999,0.0275
3,4,0.125,0.075,0.08249999999999999,0.0275
3,5,0.125,0.075,0.08249999999999999,0.0275
3,6,0.125,0.075,0.08249999999999999,0.0275
3,7,0.125,0.075,0.08249999999999999,0.0275
3,8,0.125,0.075,0.08249999999999999,0.0275
3,9,0.125,0.075,0.08249999999999999,0.0275
4,0,0.06,0.14,0.045,0.065
4,1,0.125,0.075,0.08249999999999999,0.0275
4,2,0.125,0.075,0.08249999999999999,0.0275
4,3,0.125,0.075,0.08249999999999999,0.0275
4,4,0.125,0.075,0.08249999999999999,0.0275
4,5,0.125,0.075,0.08249999999999999,0.0275
4,6,0.125,0.075,0.08249999999999999,0.0275
4,7,0.125,0.075,0.08249999999999999,0.0275
4,8,0.125,0.075,0.08249999999999999,0.0275
4,9,0.125,0.075,0.08249999999999999,0.0275
5,0,0.06,0.14,0.045,0.065
5,1,0.125,0.075,0.08249999999999999,0.0275
5,2,0.125,0.075,0.08249999999999999,0.0275
5,3,0.125,0.075,0.08249999999999999,0.0275
5,4,0.125,0.075,0.08249999999999999,0.0275
5,5,0.125,0.075,0.08249999999999999,0.0275
5,6,0.125,0.075,0.08249999999999999,0.0275
5,7,0.125,0.075,0.08249999999999999,0.0275
5,8,0.125,0.075,0.08249999999999999,0.0275
5,9,0.125,0.075,0.08249999999999999,0.0275
6,0,0.125,0.075,0.08249999999999999,0.0275
6,1,0.125,0.075,0.08249999999999999,0.0275
6,2,0.125,0.075,0.08249999999999999,0.0275
6,3,0.125,0.075,0.08249999999999999,0.0275
6,4,0.125,0.075,0.08249999999999999,0.0275
6,5,0.125,0.075,0.08249999999999999,0.0275
6,6,0.125,0.075,0.08249999999999999,0.0275
6,7,0.125,0.075,0.08249999999999999,0.0275
6,8,0.125,0.075,0.08249999999999999,0.0275
6,9,0.125,0.075,0.08249999999999999,0.0275
7,0,0.135,0.065,0.0725,0.0375
7,1,0.135,0.065,0.0725,0.0375
7,2,0.135,0.065,0.0725,0.0375
7,3,0.135,0.065,0.0725,0.0375
7,4,0.135,0.065,0.0725,0.0375
7,5,0.135,0.065,0.0725,0.0375
7,6,0.135,0.065,0.0725,0.0375
7,7,0.135,0.065,0.0725,0.0375
7,8,0.135,0.065,0.0725,0.0375
7,9,0.135,0.065,0.0725,0.0375
8,0,0.125,0.075,0.08249999999999999,0.0275
8,1,0.125,0.075,0.08249999999999999,0.0275
8,2,0.125,0.075,0.08249999999999999,0.0275
8,3,0.125,0.075,0.08249999999999999,0.0275
8,4,0.125,0.075,0.08249999999999999,0.0275
8,5,0.125,0.075,0.08249999999999999,0.0275
8,6,0.125,0.075,0.08249999999999999,0.0275
8,7,0.125,0.075,0.08249999999999999,0.0275
8,8,0.125,0.075,0.08249999999999999,0.0275
8,9,0.125,0.075,0.08249999999999999,0.0275
9,0,0.125,0.075,0.08249999999999999,0.0275
9,1,0.125,0.075,0.08249999999999999,0.0275
9,2,0.125,0.075,0.08249999999999999,0.0275
9,3,0.125,0.075,0.08249999999999999,0.0275
9,4,0.125,0.075,0.08249999999999999,0.0275
9,5,0.125,0.075,0.08249999999999999,0.0275
9,6,0.125,0.075,0.08249999999999999,0.0275
9,7,0.125,0.075,0.08249999999999999,0.0275
9,8,0.125,0.075,0.08249999999999999,0.0275
9,9,0.125,0.075,0.08249999999999999,0.0275
