Run,Iteration,agent-0,agent-1,agent-2
0,0,1,0,2
0,1,1,0,2
0,2,1,2,2
0,3,1,2,0
0,4,1,2,0
0,5,1,2,3
0,6,1,2,3
0,7,1,0,0
0,8,1,0,2
0,9,1,2,0
0,10,0,2,2
0,11,0,1,3
0,12,0,0,2
0,13,0,0,3
0,14,0,1,1
0,15,0,1,1
0,16,1,1,1
0,17,1,0,0
0,18,1,2,1
0,19,1,2,3
0,20,1,2,2
0,21,1,2,2
0,22,0,1,1
0,23,1,1,3
0,24,0,2,1
0,25,0,0,2
0,26,0,0,1
0,27,0,0,3
0,28,1,0,1
0,29,0,0,2
0,30,0,1,3
0,31,0,1,2
0,32,0,1,1
0,33,0,1,1
0,34,0,1,1
0,35,0,1,2
0,36,1,1,2
0,37,0,0,0
0,38,1,0,3
0,39,1,1,0
0,40,1,1,1
0,41,1,0,2
0,42,1,0,1
0,43,1,0,2
0,44,0,0,3
0,45,0,0,0
0,46,0,2,1
0,47,0,1,1
0,48,0,1,2
0,49,0,2,2
1,0,0,0,0
1,1,0,0,3
1,2,0,0,3
1,3,1,0,3
1,4,1,0,1
1,5,0,0,1
1,6,0,1,1
1,7,0,0,1
1,8,0,2,1
1,9,0,2,0
1,10,0,1,0
1,11,1,0,0
1,12,0,0,2
1,13,1,0,2
1,14,0,2,2
1,15,1,2,2
1,16,0,1,2
1,17,0,1,2
1,18,0,1,2
1,19,1,1,0
1,20,1,1,0
1,21,0,1,0
1,22,0,2,1
1,23,1,0,3
1,24,1,1,2
1,25,1,1,2
1,26,1,1,2
1,27,1,0,2
1,28,1,0,2
1,29,0,0,2
1,30,0,0,2
1,31,1,2,2
1,32,0,1,2
1,33,1,1,2
1,34,0,1,1
1,35,1,1,3
1,36,1,2,2
1,37,1,2,1
1,38,1,2,2
1,39,0,2,1
1,40,1,2,1
1,41,0,2,1
1,42,0,0,3
1,43,0,0,1
1,44,1,1,1
1,45,0,1,0
1,46,1,1,0
1,47,1,1,1
1,48,0,1,1
1,49,0,2,1
2,0,0,0,3
2,1,0,0,1
2,2,1,2,3
2,3,1,2,0
2,4,1,2,2
2,5,0,2,2
2,6,0,2,3
2,7,0,2,0
2,8,0,1,0
2,9,0,1,0
2,10,0,0,0
2,11,0,2,3
2,12,0,2,3
2,13,0,1,1
2,14,0,1,0
2,15,0,1,0
2,16,0,2,2
2,17,0,0,0
2,18,1,1,2
2,19,0,1,2
2,20,0,1,1
2,21,0,1,2
2,22,0,2,2
2,23,1,0,3
2,24,0,2,0
2,25,0,2,1
2,26,0,1,2
2,27,0,0,1
2,28,1,0,0
2,29,1,1,1
2,30,1,1,0
2,31,1,2,3
2,32,1,2,1
2,33,1,0,3
2,34,1,0,3
2,35,1,1,0
2,36,1,0,2
2,37,1,0,0
2,38,0,1,2
2,39,1,1,0
2,40,1,0,2
2,41,1,0,3
2,42,1,0,2
2,43,1,1,1
2,44,0,1,1
2,45,0,1,3
2,46,1,1,0
2,47,1,2,0
2,48,0,1,3
2,49,1,2,3
3,0,1,0,1
3,1,0,0,0
3,2,1,1,3
3,3,1,0,3
3,4,1,2,0
3,5,1,2,3
3,6,1,2,3
3,7,0,2,1
3,8,0,2,3
3,9,0,1,0
3,10,0,1,3
3,11,0,1,2
3,12,0,2,0
3,13,0,1,0
3,14,0,2,3
3,15,1,2,3
3,16,1,2,1
3,17,1,2,0
3,18,1,0,0
3,19,1,1,1
3,20,0,2,0
3,21,1,2,0
3,22,1,2,0
3,23,1,2,2
3,24,0,0,0
3,25,0,1,3
3,26,0,2,1
3,27,0,2,2
3,28,0,0,3
3,29,0,0,2
3,30,0,1,3
3,31,0,2,2
3,32,0,1,2
3,33,0,1,1
3,34,0,1,3
3,35,0,1,1
3,36,0,1,1
3,37,0,1,1
3,38,0,1,3
3,39,0,1,2
3,40,1,2,3
3,41,1,2,0
3,42,1,2,0
3,43,1,2,2
3,44,0,2,2
3,45,0,2,0
3,46,0,2,1
3,47,1,2,2
3,48,1,2,0
3,49,0,0,1
4,0,1,1,2
4,1,1,1,2
4,2,1,1,3
4,3,1,1,1
4,4,1,0,0
4,5,1,0,3
4,6,1,0,0
4,7,1,2,1
4,8,1,2,0
4,9,1,2,2
4,10,0,2,3
4,11,0,2,1
4,12,1,2,3
4,13,1,1,2
4,14,1,1,2
4,15,1,1,2
4,16,1,1,0
4,17,0,1,3
4,18,1,1,1
4,19,0,1,2
4,20,1,1,3
4,21,1,1,0
4,22,1,0,2
4,23,1,2,1
4,24,1,2,3
4,25,0,2,3
4,26,1,2,0
4,27,1,2,2
4,28,0,2,2
4,29,0,0,1
4,30,0,2,2
4,31,0,2,0
4,32,0,2,2
4,33,0,2,2
4,34,0,0,0
4,35,0,0,1
4,36,1,0,2
4,37,1,1,1
4,38,1,1,2
4,39,1,1,3
4,40,1,1,3
4,41,1,1,1
4,42,1,1,2
4,43,0,1,0
4,44,0,1,1
4,45,0,1,1
4,46,0,0,3
4,47,1,2,0
4,48,1,2,0
4,49,1,2,2
5,0,0,0,2
5,1,0,0,1
5,2,1,0,2
5,3,1,1,3
5,4,1,1,3
5,5,0,1,1
5,6,0,1,0
5,7,0,2,0
5,8,1,2,1
5,9,1,2,1
5,10,1,2,0
5,11,1,2,1
5,12,1,1,3
5,13,1,1,0
5,14,1,1,3
5,15,1,1,2
5,16,1,2,2
5,17,0,2,1
5,18,0,1,2
5,19,1,1,3
5,20,1,2,2
5,21,1,0,0
5,22,1,0,3
5,23,1,0,2
5,24,1,1,2
5,25,1,1,1
5,26,1,1,1
5,27,1,1,2
5,28,1,1,0
5,29,1,0,1
5,30,1,0,1
5,31,1,0,1
5,32,0,0,1
5,33,0,0,2
5,34,1,2,2
5,35,0,2,1
5,36,0,2,2
5,37,0,1,0
5,38,0,0,3
5,39,0,0,1
5,40,0,0,2
5,41,0,0,2
5,42,1,0,3
5,43,1,0,0
5,44,1,2,1
5,45,1,2,1
5,46,1,2,3
5,47,1,1,1
5,48,1,1,0
5,49,0,1,1
6,0,1,1,0
6,1,1,1,2
6,2,0,1,2
6,3,0,1,2
6,4,1,1,2
6,5,0,1,3
6,6,0,0,0
6,7,1,2,0
6,8,1,2,0
6,9,1,0,0
6,10,0,0,0
6,11,1,0,0
6,12,0,0,0
6,13,0,0,0
6,14,1,2,0
6,15,1,2,0
6,16,0,2,0
6,17,0,2,0
6,18,0,2,0
6,19,1,1,0
6,20,0,1,2
6,21,0,1,3
6,22,0,0,3
6,23,0,2,1
6,24,0,2,1
6,25,1,2,0
6,26,0,2,0
6,27,1,2,0
6,28,1,2,0
6,29,0,2,0
6,30,0,2,2
6,31,1,2,2
6,32,1,0,1
6,33,0,1,2
6,34,0,1,2
6,35,1,1,2
6,36,1,1,2
6,37,1,0,2
6,38,1,0,2
6,39,1,2,3
6,40,0,1,3
6,41,0,1,0
6,42,0,1,0
6,43,1,1,0
6,44,0,1,0
6,45,0,0,0
6,46,0,0,0
6,47,1,0,0
6,48,1,0,0
6,49,1,1,3
7,0,0,0,3
7,1,1,2,2
7,2,1,0,1
7,3,1,2,0
7,4,1,2,0
7,5,1,1,3
7,6,1,1,3
7,7,1,0,3
7,8,0,0,0
7,9,0,1,0
7,10,1,0,3
7,11,0,1,2
7,12,0,0,3
7,13,1,0,3
7,14,0,2,2
7,15,0,2,2
7,16,0,1,2
7,17,0,1,2
7,18,0,0,2
7,19,0,0,0
7,20,0,0,0
